,time (mimcroseconds),,,
n,iterative double,recusive double,iterative int,recursive int
684,17.3,17.3,22.3,86.7
685,17.3,17.3,27.6,88.2
686,17.6,17.3,22.5,87.5
687,17.5,17.4,22.2,89.9
688,22.6,17.5,22.3,88.6
689,17.6,17.5,22.5,88.6
690,17.4,17.5,22.5,94.8
691,17.6,17.5,22.6,89.2
692,17.6,17.6,22.4,89.4
693,17.6,17.6,27.6,88.9
694,17.7,17.6,22.6,88.7
695,17.7,17.6,22.7,89.3
696,22.6,17.7,22.7,89.6
697,17.8,17.7,22.6,88.8
698,17.7,17.7,22.6,94.7
699,17.8,17.8,22.6,97.5
700,17.7,17.8,22.9,89.7
701,17.7,17.7,54.3,100
702,19.4,19.3,25.1,174.4
703,22,20.2,25,150.9
704,25.7,20.1,25.8,156.2
705,20.4,20,26,135.9
706,23.7,21,26.1,118.4
707,31,23.1,25.8,227.4
708,21.4,20.1,25.4,104.3
709,19.7,19.7,34.1,131.4
710,20.4,19.6,25.2,100.9
711,23,21,26.9,107.9
712,21.5,20.2,26,127.2
713,20,25.4,25.5,117.1
714,19.8,48.1,25.3,105.4
715,20,19.7,53.9,108
716,18.4,18.2,23.3,90
717,18.2,18.2,23.4,94.1
718,25.4,18.3,23.5,94.8
719,18.3,18.2,23.4,93.5
720,18.2,18.3,23.5,99.1
721,18.5,18.4,23.5,98.3
722,21.9,18.4,23.5,93.8
723,22.2,23.6,23.5,93.4
724,18.4,18.5,23.6,93.4
725,18.5,18.6,23.6,98.6
726,23.9,18.5,24.1,93.9
727,18.6,18.4,23.7,94.8
728,18.6,26.5,24.5,95.1
729,18.6,18.6,24.6,96.5
730,24,18.6,23.8,99.3
731,18.7,18.5,24.1,93.8
732,18.6,18.7,23.9,93.3
733,18.8,24,23.9,94.2
734,18.7,24.2,27.2,94.2
735,18.9,18.8,24.1,100.9
736,19,18.8,25.3,96.9
737,19.3,18.9,25.6,97.2
738,25,24,24.2,96.4
739,19.3,19.1,24,100.7
740,26.7,19,27.4,101.2
741,18.9,18.8,24.3,96.6
742,24.5,18.8,24.2,97.2
743,24.1,19.1,24.4,97.4
744,18.9,19.1,24.3,95.9
745,19.1,19,24.4,101.3
746,24.8,19,29.3,97.8
747,19.2,19.1,26.7,99.3
748,25.3,20.1,26,101.4
749,20.3,21.4,26.3,106.4
750,19.3,19.1,29.5,97.1
751,19.2,19,24.5,98.9
752,22.4,19.2,24.7,103.7
753,19.3,19.2,24.7,99
754,19.3,19.3,24.7,97.9
755,19.4,24.4,24.7,98.7
756,19.4,19.3,24.7,97.5
757,19.4,19.4,24.7,104.2
758,28.1,19.5,24.8,99.6
759,19.6,19.4,24.7,97.6
760,24.6,19.7,24.9,99.5
761,19.6,19.6,25,114.7
762,19.6,19.4,30,106.2
763,19.6,19.5,25.2,102.5
764,19.7,19.5,24.9,104
765,19.7,19.5,24.9,100.8
766,19.6,19.6,25,100.2
767,19.6,24.8,26.6,99.7
768,19.7,19.6,25.2,103.6
769,19.8,19.7,25.2,142.6
770,25.4,19.9,25.2,99.5
771,24.1,19.9,25.2,132.3
772,20.1,19.9,25.3,127.9
773,20.2,19.9,25.4,115.4
774,19.9,19.8,36.6,108.1
775,19.9,19.8,25.5,101.6
776,19.9,19.9,25.4,105.5
777,20,19.9,25.4,101.6
778,20,19.9,25.6,101.9
779,25.3,20.3,25.4,116.6
780,20.1,19.9,25.6,120.2
781,20,20.1,30.6,115.3
782,20.1,20,25.6,118.4
783,20.1,20,25.6,116.3
784,20.3,20.1,25.9,120.6
785,20.1,20.1,25.8,130.2
786,25.1,20.3,27.5,119.4
787,20.2,20.1,25.7,115
788,20.3,20.2,30.9,102.6
789,20.2,20.2,25.9,122.4
790,20.4,20.3,25.8,147.9
791,20.3,20.5,25.8,154.5
792,22,22,29.8,179.8
793,60,32.6,42.8,196.1
794,53.8,50.2,65.8,181.1
795,34.4,32.1,56.8,211.9
796,22.7,22.3,28.6,147.9
797,20.6,27.3,26.2,145.4
798,69.1,22.3,28.5,166.9
